name,id,u,v,length
Avenue de l'Annonciade,4230118,21921299,7790521280,4.679
Avenue de l'Annonciade,4230118,7790521280,7790521281,3.397
Avenue de l'Annonciade,4230118,7790521281,7790521282,3.407
Avenue de l'Annonciade,4230118,7790521282,1789813106,3.017
Avenue de l'Annonciade,4230118,1789813106,7790521283,3.157
Avenue de l'Annonciade,4230118,7790521283,3419957918,3.242
Avenue de l'Annonciade,4230118,3419957918,9532804394,9.68
Avenue de l'Annonciade,4230118,9532804394,25185452,5.898
Avenue de l'Annonciade,4230119,25185541,25185552,12.147
Rue Révérend Père Louis Frolla,4230122,25185720,25185731,12.175
Rue Révérend Père Louis Frolla,4230122,25185731,25185753,18.616
Rue Révérend Père Louis Frolla,4230122,25185753,25185768,12.277
Rue Révérend Père Louis Frolla,4230122,25185768,1685146312,12.835
Rue Révérend Père Louis Frolla,4230122,1685146312,25185779,10.836
Rue Révérend Père Louis Frolla,4230122,25185779,25185829,36.175
Rue Révérend Père Louis Frolla,4230122,25185829,1204288499,3.496
Rue Révérend Père Louis Frolla,4230122,1204288499,25185803,3.603
Rue du Mont Agel,4230126,25243242,1204288482,4.11
Rue du Mont Agel,4230126,1204288482,9082625862,3.291
Rue du Mont Agel,4230126,9082625862,25243245,2.093
Rue du Mont Agel,4230126,25243245,25243244,15.781
Rue du Mont Agel,4230126,25243244,25243243,12.302
Rue du Mont Agel,4230126,25243243,9082625863,12.74
Rue du Mont Agel,4230126,9082625863,9082625864,3.399
Rue du Mont Agel,4230126,9082625864,25212913,3.212
Rue du Mont Agel,4230126,25212913,9082625865,4.26
Rue du Mont Agel,4230126,9082625865,1204288452,2.988
Rue du Mont Agel,4230126,1204288452,9082625866,4.972
Rue du Mont Agel,4230126,9082625866,9082625867,4.475
